"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Benchmarking Container Orchestration Platforms: A Comparative Analysis of Kubernetes and AWS ECS for Stateful Microservices","S. K. Kotakonda","Associate Software Engineer, United States",2026 IEEE 5th International Conference on AI in Cybersecurity (ICAIC),"23 Feb 2026","2026","","","1","5","In Financial services, when deploying stateful micro-services which require high-throughput need to have the right container orchestration platform. This paper compares the two available options from AWS, Elastic Container Service (ECS) and Elastic Kubernetes Service (EKS) running on server-less AWS Fargate compute engine. Comparison mainly focused on operational complexity, performance metrics, security architecture and total cost of ownership (TCO), when deployed to a stateful spring boot micro-services environment. ECS on Fargate has operational simplicity and is very quick in task startup, where EKS maintains finer granular controls over resource scheduling and provides advanced security models such as service mesh architecture. EKS infrastructure cost looks cheap but organizations end up paying more for operational labor cost due to EKS complexity. ECS is optimized for speed and simplicity and EKS is optimized for control and flexibility like multi cloud or hybrid with advanced security model.","","978-1-6654-7761-1","10.1109/ICAIC67076.2026.11395772","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11395772","Container Orchestration;Microservices;Kubernetes;AWS ECS;Fargate;Stateful Applications;TCO;Performance Benchmarking;Spring Boot","Costs;Processor scheduling;Microservice architectures;Computer architecture;Containers;Benchmark testing;Performance metrics;Scheduling;Complexity theory;Springs","","","","10","IEEE","23 Feb 2026","18-20 Feb. 2026","18-20 Feb. 2026","IEEE","IEEE Conferences"
"Performance Comparison of Service Mesh Frameworks: The MTLS Test Case","A. B. Barr; O. Lavi; Y. Naor; S. Rampal; J. Tavori","Tel Aviv University, Tel Aviv, Israel; Tel Aviv University, Tel Aviv, Israel; Reichman University, Herzliya, Israel; Red Hat, Raleigh, USA; Tel Aviv University, Tel Aviv, Israel",NOMS 2025-2025 IEEE Network Operations and Management Symposium,"15 Jul 2025","2025","","","1","6","Service Mesh has become essential for modern cloud-native applications by abstracting communication between microservices and providing zero-trust security, observability, and advanced traffic control without requiring code changes. This allows developers to leverage new network capabilities and focus on application logic without managing network complexities. However, the additional layer can significantly impact system performance, latency, and resource consumption, posing challenges for cloud managers and operators. In this work, we investigate the impact of the mTLS protocol-a common security and authentication mechanismon application performance within service meshes. Recognizing that security is a primary motivation for deploying a service mesh, we evaluated the performance overhead introduced by leading service meshes: Istio, Istio Ambient, Linkerd, and Cilium. Our experiments were conducted by testing their performance in service-to-service communications within a Kubernetes cluster. Our experiments reveal significant performance differences (in terms of latency and resource consumption) among the service meshes, rooting from the different architecture of the service mesh, sidecar versus sidecareless, and default extra features hidden in the mTLS implementation. Our results highlight the understanding of the service mesh architecture and its impact on performance.","2374-9709","979-8-3315-3163-8","10.1109/NOMS57970.2025.11073712","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11073712","cloud;Service Mesh;Kubernetes;MTLS;eBPF","Codes;System performance;Microservice architectures;Authentication;Traffic control;Complexity theory;Security;Logic;Observability;Testing","","2","","33","IEEE","15 Jul 2025","12-16 May 2025","12-16 May 2025","IEEE","IEEE Conferences"
"Optimizing Scalability and Resilience in Digital Platforms Through Microservice Deployment Strategies","S. Jhingran; S. Gupta; S. Bhogal","Department of Computer Science & Engineering, Sharda University, Greater Noida, Uttar Pradesh, India; Department of Computer Science & Engineering, Sharda University, Greater Noida, Uttar Pradesh, India; Department of Computer Science & Engineering, Sharda University, Greater Noida, Uttar Pradesh, India","2025 12th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)","27 Nov 2025","2025","","","1","5","This research investigates deployment techniques to improve scalability and resilience in online platforms via microservice architecture (MSA). Monolithic systems are usually unreliable under dynamic workloads, while MSAs provide modularity, autonomous scalability, and fault isolation. We suggest a hybrid approach with adaptive resource scaling based on custom metrics and resilience-oriented traffic routing. Implemented in Istio and Kubernetes, the system features dynamic CPU-based autoscaling along with request rate and latency, health checks, and circuit breakers to divert traffic during failure. Experimental testing with varying workloads demonstrates response time reduction by 43% and recovery that is 61% more efficient compared to conventional approaches. Outcomes confirm that smart orchestration and active resilience mechanisms drastically enhance performance, availability, and fault tolerance in contemporary digital platforms.","2769-2884","979-8-3315-5421-7","10.1109/ICRITO66076.2025.11241342","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11241342","Kubernetes;Microservice Architecture;Resilience;Scalability;Service Mesh","Measurement;Scalability;Fault tolerant systems;Microservice architectures;Routing;Market research;Time factors;Optimization;Resilience;Testing","","","","12","IEEE","27 Nov 2025","18-19 Sept. 2025","18-19 Sept. 2025","IEEE","IEEE Conferences"
"Data Processing Unit (DPU) Based Network Process Offloading for Efficient Service Meshes","K. M. Hasanth; S. Basu; D. Nadig","Dept. of Computer and Information Technology, Purdue University, West Lafayette, IN; Dept. of Computer and Information Technology, Purdue University, West Lafayette, IN; Dept. of Computer and Information Technology, Purdue University, West Lafayette, IN",2024 IEEE 10th International Conference on Network Softwarization (NetSoft),"10 Jul 2024","2024","","","319","321","As the software development landscape transitions from monolithic applications to agile, cloud-native microservices, new challenges in communication have emerged, necessitating the evolution of network service meshes to effectively manage these complexities. While addressing these communication challenges, implementing service mesh solutions introduces higher resource utilization, primarily due to deploying an additional per-microservice infrastructure known as the “sidecar” container. A sidecarless approach, as exemplified by Cilium, leverages extended Berkeley packet filter (eBPF) technology to minimize operational overhead and optimize resource utilization. The advent of data processing units (DPU) represents a crucial evolution in cloud accelerators, designed to offload and accelerate networking, security, and storage tasks traditionally handled by server CPUs. This demonstration integrates DPU technology with Cilium’s sidecarless architecture and proposes to offload Cilium’s control plane to DPUs. Our proposed approach improves system efficiency by deploying Cilium’s control plane components on DPUs in a separate host mode. Further, our approach conserves CPU cycles on the primary hosts and shifts network processing tasks to the DPU. This strategic offload aims to enhance throughput, reduce latency, and unburden CPUs from network processing tasks to improve the performance of service mesh architectures for cloud-native ecosystems.","2693-9789","979-8-3503-6958-8","10.1109/NetSoft60951.2024.10588912","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10588912","DPU;Cilium;eBPF;Service Mesh;Sidecar-less","Microservice architectures;Computer architecture;Data processing;Throughput;Resource management;Servers;Security","","2","","10","IEEE","10 Jul 2024","24-28 June 2024","24-28 June 2024","IEEE","IEEE Conferences"
"eZtunnel: Leveraging eBPF to Transparently Offload Service Mesh Data Plane Networking","A. J. Simas; F. E. Rodriguez Cesen; C. E. Rothenberg","Universidade Estadual de Campinas (UNICAMP), Campinas, Brazil; Universidade Estadual de Campinas (UNICAMP), Campinas, Brazil; Universidade Estadual de Campinas (UNICAMP), Campinas, Brazil",2024 IEEE 13th International Conference on Cloud Networking (CloudNet),"31 Dec 2024","2024","","","1","5","Cloud-native applications, characterized by scalability, resilience, and flexibility, adopt microservices architectures to decompose applications into smaller, independently manageable services. Although microservices offer significant benefits, this architectural approach introduces challenges in service-to-service communication, commonly relying on advanced orchestration and communication frameworks such as Kubernetes and Istio, respectively. However, the added complexity imposes substantial overhead by introducing longer packet processing paths. This paper discusses performance bottlenecks arising from service meshes and proposes eZtunnel to address some of the identified challenges. Leveraging extended Berkeley Packet Filter (eBPF) to transparently offload networking traffic, the elongated network path is bypassed, optimizing resource utilization and enhancing application performance. Experiments show that eZtunnel can reduce median latency over 20% and jitter to almost 10%.","2771-5663","979-8-3503-7656-2","10.1109/CloudNet62863.2024.10815862","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10815862","Service Mesh;Kubernetes;eBPF;Offloading","Scalability;Microservice architectures;Jitter;Complexity theory;Resource management;Resilience","","2","","17","IEEE","31 Dec 2024","27-29 Nov. 2024","27-29 Nov. 2024","IEEE","IEEE Conferences"
"Demonstrating a System for Dynamically Meeting Management Objectives on a Service Mesh","F. S. Samani; K. Hammar; R. Stadler","Dept. of Computer Science, KTH Royal Institute of Technology, Sweden; Dept. of Computer Science, KTH Royal Institute of Technology, Sweden; Dept. of Computer Science, KTH Royal Institute of Technology, Sweden",NOMS 2023-2023 IEEE/IFIP Network Operations and Management Symposium,"21 Jun 2023","2023","","","1","3","We demonstrate a management system that lets a service provider achieve end-to-end management objectives under varying load for applications on a service mesh based on the Istio and Kubernetes platforms. The management objectives for the demonstration include end-to-end delay bounds on service requests, throughput objectives, and service differentiation. Our method for finding effective control policies includes a simulator and a control module. The simulator is instantiated with traces from a testbed, and the control module trains a reinforcement learning (RL) agent to efficiently learn effective control policies on the simulator. The learned policies are then transfered to the testbed to perform dynamic control actions based on monitored system metrics. We show that the learned policies dynamically meet management objectives on the testbed and can be changed on the fly.","2374-9709","978-1-6654-7716-1","10.1109/NOMS56928.2023.10154365","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10154365","Performance management;reinforcement learning (RL);service mesh;digital twin;Istio;Kubernetes","Measurement;Conferences;Reinforcement learning;Throughput;Delays;System analysis and design;Monitoring","","5","","7","IEEE","21 Jun 2023","8-12 May 2023","8-12 May 2023","IEEE","IEEE Conferences"
"Uncertainty-Aware Hierarchical Graph Transformers for Adaptive Resource Optimization in Service Meshes","Z. Gu; R. Chang; C. Li; Q. He; Z. Zhao; M. Tao","Northeastern University, Bellevue, USA; Disney Streaming ads Platform, Burbank, USA; Georgetown University, New York, USA; Fordham University, New York, USA; NA; Emporia State University, Emporia, Kansas, USA",2026 International Conference on Communication Networks and Machine Learning (CNML),"31 Mar 2026","2026","","","1351","1354","Modern cloud-native applications rely on complex microservice architectures managed by service meshes like Istio, where dynamic workload fluctuations and intricate service dependencies make optimal resource allocation a persistent challenge. Existing approaches often struggle to balance resource efficiency with strict Service Level Agreements (SLAs), leading to either costly over-provisioning or performance degradation. This paper introduces HAGT-BMSO, a novel framework integrating Hierarchical Adaptive Graph-Transformers with Bayesian-Enhanced Multi-Scale Optimization. We employ a specialized graph transformer to capture multi-level service dependencies and utilize Bayesian variational inference for uncertainty-aware resource decisions. Furthermore, a Decision Transformer reformulates allocation as a sequence modeling task. Experimental results demonstrate that HAGT-BMSO reduces resource consumption by 47.3% while improving tail latency by 52.0% compared to standard Istio configurations.","","979-8-3315-9047-5","10.1109/CNML68938.2026.11452354","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11452354","Service Mesh;Resource Optimization;Graph Transformers;Bayesian Inference;Kubernetes;Microservices;Reinforcement Learning","Technological innovation;Microservice architectures;Telecommunication traffic;Transformers;Dynamic scheduling;Bayes methods;Resource management;Optimization;Standards;Service level agreements","","","","7","IEEE","31 Mar 2026","30 Jan.-1 Feb. 2026","30 Jan.-1 Feb. 2026","IEEE","IEEE Conferences"
"AI-Enhanced Pod Scheduling: Optimizing MERN and MEAN Stack Performance in Kubernetes","N. Ramachandran; M. Thirumaran","Department of Computer Science and Engineering, Puducherry Technological University, Puducherry, India; Department of Computer Science and Engineering, Puducherry Technological University, Puducherry, India","2025 International Conference on Data Science, Agents & Artificial Intelligence (ICDSAAI)","29 May 2025","2025","","","1","6","Microservices architecture has become the foundation of modern application development, offering enhanced scalability, flexibility, and maintainability. This paper presents a comparative performance evaluation of two widely used JavaScript-based stacks, MERN (MongoDB, Express, React, Node.js) and MEAN (MongoDB, Express, Angular, Node.js), deployed as microservices applications in Minikube, a local Kubernetes environment. While both stacks share a common backend technology stack, they differ in their front-end frameworks—React in MERN and Angular in MEAN—which influences their performance, scalability, and suitability for different application types. This study not only compares the architectural differences between MERN and MEAN but also introduces machine learning (ML)-based microservice optimization to enhance service instance selection and resource allocation in Kubernetes. The optimization leverages RF (Random Forest) and XGBoost ML algorithms for dynamic intelligent POD selection and scheduling, ensuring dynamic routing of microservice requests based on real-time performance metrics. Key evaluation criteria include latency, response time, CPU and memory utilization, scalability, and fault tolerance, monitored using Prometheus and Istio. The results provide insights into the efficiency of each stack in handling microservices workloads, helping developers and system architects choose the most suitable stack based on performance demands, resource constraints, and deployment complexity. The paper concludes with recommendations for optimizing microservices-based applications in Kubernetes environments using ML-driven orchestration strategies.","","979-8-3315-3755-5","10.1109/ICDSAAI65575.2025.11011851","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11011851","Microservices;MERN Stack;MEAN Stack;Minikube;Prometheus;Kubernetes;Performance Monitoring","Radio frequency;Heuristic algorithms;Scalability;Microservice architectures;Aerodynamics;Dynamic scheduling;Time factors;Resource management;Random forests;Monitoring","","","","16","IEEE","29 May 2025","28-29 March 2025","28-29 March 2025","IEEE","IEEE Conferences"
"AI-Driven Secure and Cloud-Native Microservice Architectures for High-Performance Financial and Hardware Accelerator Systems","V. Nagaraj; S. R. Gundla; P. R. Vennamaneni","MTS at Advanced Micro Device(AMD), San Jose, California, USA; MACYS Inc, GA, USA; Inovalon, USA",2025 Tenth International Conference on Science Technology Engineering and Mathematics (ICONSTEM),"18 Feb 2026","2025","","","1","7","This research describes an end-to-end architecture for financial systems that is capable of bringing together cloud-native microservice architecture with artificial intelligence and hardware accelerators. We have Kubernetes based containers and orchestrated containers using service mesh control plane technologies, real-time AI based threat mitigation using transformerbased detection models. Zero Trust security based on mutual TLS authentication and Policy based access controls based on Istio and Envoy proxies. Hardware acceleration: FPGA, GPU cluster helps for transaction processing in ultra-low latency in the sub-millisecond range. KServe Enterprise intelligence gives intelligent load balancing and predictive scaling with machine learning models. Kernel-level monitoring by eBPF integration, and network security integration of Cilium are examples of how performance improvement could be measured (latency reduction by 40 % and availability of 99.99 %) showing that the framework is suitable for mission-critical financial applications.","2996-2986","979-8-3315-6187-1","10.1109/ICONSTEM65670.2025.11374740","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11374740","Microservices;Cloud-Native;Zero-Trust;Hardware-Acceleration;AI-Security;Kubernetes","Cloud computing;Microservice architectures;Computer architecture;Containers;Transformers;Zero Trust;Hardware acceleration;Monitoring;Field programmable gate arrays;Load modeling","","","","15","IEEE","18 Feb 2026","6-7 Nov. 2025","6-7 Nov. 2025","IEEE","IEEE Conferences"
"Critical Limitations of the Least Outstanding Request Load Balancing Policy in Service Meshes for Large-Scale Microservice Applications","A. Detti; L. Funari","CNIT, Department of Electronic Engineering, University of Rome “Tor Vergata,”, Rome, Italy; CNIT, Department of Electronic Engineering, University of Rome “Tor Vergata,”, Rome, Italy",IEEE Transactions on Network and Service Management,"4 Dec 2025","2025","22","6","5452","5463","Service meshes are becoming pivotal software frameworks for managing communication among microservices in distributed applications. Each microservice in a service mesh is paired with an L7 sidecar proxy, which intercepts incoming and outgoing requests to provide enhanced observability, traffic management, and security. These sidecar proxies use application-level load balancing policies to route outgoing requests to available replicas of destination microservices. A widely adopted policy is the Least Outstanding Request (LOR), which directs requests to the replica with the fewest outstanding requests. While LOR effectively reduces latency in applications with a small number of replicas, our comprehensive investigation–combining analytical, simulation, and experimental methods–uncovers a novel and critical issue for large-scale microservice applications: the performance of LOR significantly degrades as the number of microservice replicas increases, eventually converging to the performance of a random load balancing policy. To recover LOR performance at scale, we propose an open-source solution named Proxy-Service, tailored for microservice applications where load balancing incurs significantly lower resource demands than microservice execution. The core idea is to consolidate load balancing decisions per microservice into one or a few reverse proxies, transparently injected into the application.","1932-4537","","10.1109/TNSM.2025.3593870","EU under the Italian National Recovery and Resilience Plan (NRRP) of NextGenerationEU, partnership “Telecommunications of the Future”(grant numbers:PE00000001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11104849","Cloud computing;microservices applications;service meshes;load balancing","Microservice architectures;Servers;Load management;Load modeling;Analytical models;Degradation;Collaboration;Containers;Training;Security","","","","32","IEEE","30 Jul 2025","Dec. 2025","","IEEE","IEEE Journals"
